"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ILMN_1813753",-10.8398411371238,126.908323353293,-4.64395388456472,6.92720060227965e-06,4.43044988378264e-05,2.87013724618841,"PTN"
"ILMN_1682588",-8.38563879598662,120.66622754491,-4.64343879370503,6.94250022249546e-06,4.43963507471527e-05,2.86841503416115,""
"ILMN_1721623",124.103919732441,535.716167664671,4.6433348476153,6.94559166045307e-06,4.44101187077368e-05,2.86806750606213,"APOO"
"ILMN_3269537",280.557464882943,716.71748502994,4.64278930728894,6.9618382523132e-06,4.45079856492793e-05,2.86624366669761,""
"ILMN_1765644",128.406981605351,374.259161676647,4.64162881133632,6.99652075743701e-06,4.47236735490253e-05,2.86236443746623,"COMMD8"
"ILMN_1772136",-7.34952341137125,113.997604790419,-4.64151349523918,6.99997618046201e-06,4.47397180999221e-05,2.86197900487893,""
"ILMN_2374692",292.070714046823,1623.66634730539,4.64121145283768,7.00903462682212e-06,4.47915647009421e-05,2.86096949113424,"WAC"
"ILMN_1713985",69.2764966555185,297.780179640719,4.64091077467415,7.0180633946112e-06,4.4843207664028e-05,2.85996458443677,"MAF1"
"ILMN_1840508",-8.14601672240804,117.807005988024,-4.64055724412553,7.02869357199703e-06,4.4905067802625e-05,2.85878309844264,""
"ILMN_3177271",103.258545150502,497.09502994012,4.63990673719625,7.04829403570263e-06,4.50242130612203e-05,2.85660929912235,""
"ILMN_1696311",112.621981605351,378.664251497006,4.6397049422636,7.05438504328742e-06,4.50570399539003e-05,2.85593500586156,"IMPAD1"
"ILMN_2351309",48.0682357859531,236.115688622755,4.63944297049845,7.06230001540518e-06,4.51015062522272e-05,2.85505966482338,"TIAL1"
"ILMN_1744471",19.9361755852843,166.724850299401,4.63865479521436,7.086164926921e-06,4.52478068643578e-05,2.85242630670141,"ZNF654"
"ILMN_1698323",49.6674464882943,182.111556886228,4.63856980824892,7.08874286388888e-06,4.52581610638086e-05,2.8521423776999,""
"ILMN_3218292",-1674.6068361204,3834.9645508982,-4.63818423040216,7.10045009286318e-06,4.53267906777919e-05,2.85085426604746,"PAXIP1-AS1"
"ILMN_1778890",21.9779682274247,178.293952095808,4.63795387679364,7.10745317793829e-06,4.53653762188286e-05,2.85008475383983,"LRR1"
"ILMN_2338593",13.6470501672241,109.363053892216,4.63779444616538,7.1123040037348e-06,4.53902157875574e-05,2.8495521810204,"FITM2"
"ILMN_1730678",-1288.71699832776,3437.36149700599,-4.63719403305468,7.13060082137888e-06,4.55008484451579e-05,2.84754663991395,""
"ILMN_3192446",62.635212374582,258.502994011976,4.63663510028407,7.14767439713369e-06,4.5603646733337e-05,2.84567982379263,""
"ILMN_1688997",9.34208528428094,118.296826347305,4.63615198720998,7.16246370843713e-06,4.56918451888193e-05,2.84406637453738,"C17orf58"
"ILMN_1695362",86.0755685618729,431.17628742515,4.63601422318717,7.16668642115437e-06,4.57126209491666e-05,2.84360630740086,"ZNF32"
"ILMN_1746525",1728.87005852843,6425.79137724551,4.63565246144803,7.17778650338252e-06,4.577725241416e-05,2.84239824037314,""
"ILMN_1742382",25.0650685618729,129.455568862275,4.63546600559266,7.18351408122438e-06,4.58076072431883e-05,2.84177561650035,"RIMS3"
"ILMN_1726743",199.722371237458,941.262215568862,4.6350799530415,7.1953869214906e-06,4.58771355293423e-05,2.84048654595776,"MRPS30"
"ILMN_3244506",97.4670200668897,508.569161676647,4.63464169690675,7.20888820551812e-06,4.59570264935374e-05,2.83902325663572,"CRSP8P"
"ILMN_2113738",-1940.57993478261,5293.95,-4.63454480854193,7.21187632724092e-06,4.59698830223188e-05,2.83869977054751,"MCMDC2"
"ILMN_1701289",26.4214331103679,159.993053892216,4.63401888890351,7.22811701112679e-06,4.60671990842481e-05,2.83694394175786,"LOC146880"
"ILMN_1813796",31.5755384615385,153.232095808383,4.6338822449502,7.23234242305143e-06,4.60866604494257e-05,2.83648776764543,"TMEM169"
"ILMN_1812489",49.8151521739131,197.436347305389,4.63385716051325,7.23311836266186e-06,4.60866604494257e-05,2.83640402646715,"CEP85"
"ILMN_1745112",-79.96477090301,249.218862275449,-4.63331871562733,7.24979351872875e-06,4.61866894040498e-05,2.83460657664414,"FAM102A"
"ILMN_3235216",63.1888193979934,312.722874251497,4.6330634247346,7.25771260661774e-06,4.62309161354643e-05,2.8337544114193,"IFT20"
"ILMN_1678252",13.0609448160535,107.859640718563,4.63290662383593,7.26258068573727e-06,4.62556989516096e-05,2.83323102434136,"HDLBP"
"ILMN_1855278",-125.254595317726,317.407604790419,-4.63250940132059,7.27492705851839e-06,4.63280982725349e-05,2.83190518948486,""
"ILMN_3286312",13.3700735785953,116.276167664671,4.63217520025602,7.28533029975011e-06,4.63881055496198e-05,2.83078976933657,""
"ILMN_1817124",-12.7020217391304,147.340598802395,-4.63182001643114,7.29640244177297e-06,4.64504054142368e-05,2.82960438182981,""
"ILMN_1703009",12.7090267558528,119.938263473054,4.63179836963218,7.297077761917e-06,4.64504054142368e-05,2.82953214012131,"FAM20C"
"ILMN_2363392",-963.010969899666,1837.78796407186,-4.63174526158859,7.29873484122199e-06,4.64547047957373e-05,2.82935490406406,"TNFSF14"
"ILMN_1660376",2348.66419230769,20971.7734131737,4.63137445281011,7.310314954156e-06,4.65221522674247e-05,2.82811745498449,"RPL13AP20"
"ILMN_1825426",-11.4885568561873,136.045449101796,-4.63109446448238,7.31907054936216e-06,4.65716090543117e-05,2.82718313621121,""
"ILMN_1911072",-9.17529933110368,123.880718562874,-4.63098889451239,7.32237448433323e-06,4.65844691866999e-05,2.82683086074022,""
