"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051294","establishment of spindle orientation",46,0.701995188175494,1.91846021606602,4.47043920349509e-06,0.000172610206698008,0.000137095467092099,2363,"tags=30%, list=8%, signal=28%","162282/220134/5080/1058/221150/5347/10403/89958/126353/4085/26086/387755/54908/29899"
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT",128,-0.384367513940923,-1.83710128172851,4.64303287748814e-06,0.000178139653818564,0.000141487224394609,2325,"tags=30%, list=8%, signal=28%","2185/83666/801/282617/1600/407006/3454/7124/3575/5788/6774/3587/7132/602/5008/2534/1489/1647/2147/3280/4485/1436/5789/9306/2322/1154/388646/282618/282616/6347/3586/101180976/3569/8835/9021/85480/2690/57817"
"GO:0009072","aromatic amino acid metabolic process",41,-0.570455480278377,-2.36355687723332,4.79460331058922e-06,0.000182798020558439,0.00014518712706147,2583,"tags=54%, list=9%, signal=49%","5092/3034/8942/3067/130013/5053/2184/5860/2639/6898/10841/23498/144193/441024/389434/6999/169355/8564/7054/2954/131669/143941"
"GO:0034728","nucleosome organization",133,0.568723028004863,1.69170513875422,5.13739833162566e-06,0.000194643179289467,0.000154595131374051,3943,"tags=34%, list=13%, signal=30%","64591/8367/8358/3009/55723/8355/8356/8345/92815/8365/8208/8340/8339/7258/4171/8343/8370/8357/7141/8348/8362/653604/8970/8353/728137/8360/3159/29028/3024/8344/8352/8341/8354/10036/3006/3014/64754/255626/3008/3148/6604/8342/8366/8359/6662"
"GO:0009620","response to fungus",72,-0.467763201837113,-2.0666734991549,5.30228268808721e-06,0.000199642469907979,0.000158565812457083,3968,"tags=43%, list=13%, signal=38%","695/9958/6688/23406/1673/1669/5336/50856/1398/84818/6863/64581/26253/5322/1524/4615/383/283/4353/116842/3273/820/7099/6279/388325/338339/170482/85480/6283/1668/57817"
"GO:0050820","positive regulation of coagulation",31,-0.632720934197066,-2.38371293893846,5.62365425307338e-06,0.0002104357535934,0.000167138366169965,3951,"tags=58%, list=13%, signal=51%","10855/7448/11117/79001/2155/2152/4780/2161/2147/350/1361/3273/7056/5345/7057/5340/6915/5054"
"GO:0009080","pyruvate family amino acid catabolic process",10,-0.872066531658628,-2.34336579534049,5.72069511414913e-06,0.000212753704183878,0.000168979395880647,2926,"tags=90%, list=10%, signal=81%","56922/64087/2875/84706/189/3712/3155/64902/54511"
"GO:0002718","regulation of cytokine production involved in immune response",124,-0.374296500988234,-1.82380859264981,5.77347303508277e-06,0.000213407277674828,0.000169498495908014,3647,"tags=27%, list=12%, signal=24%","4092/30009/5336/2865/57142/441168/7133/11213/23411/7124/3554/64581/3356/2867/114548/975/4615/383/10859/7098/2625/335/558/10666/7099/1178/8809/3586/11126/388325/91543/3553/3569/8013"
"GO:0002287","alpha-beta T cell activation involved in immune response",83,-0.436850974531801,-2.06966670576365,5.90087527424747e-06,0.000215488589834266,0.000171151575804743,3953,"tags=33%, list=13%, signal=28%","5734/4092/30009/80149/4063/114836/6693/942/6461/64332/6774/1880/8320/602/6363/3566/3662/6095/114548/246778/3572/2625/969/8809/3726/3569/9021"
"GO:0002293","alpha-beta T cell differentiation involved in immune response",83,-0.436850974531801,-2.06966670576365,5.90087527424747e-06,0.000215488589834266,0.000171151575804743,3953,"tags=33%, list=13%, signal=28%","5734/4092/30009/80149/4063/114836/6693/942/6461/64332/6774/1880/8320/602/6363/3566/3662/6095/114548/246778/3572/2625/969/8809/3726/3569/9021"
"GO:0006957","complement activation, alternative pathway",16,-0.781063202782441,-2.431847068613,6.26207045708054e-06,0.000227309407849235,0.000180540247530327,2282,"tags=62%, list=8%, signal=58%","1675/727/718/732/731/11326/1378/730/735/5199"
"GO:0035743","CD4-positive, alpha-beta T cell cytokine production",18,-0.753340428424064,-2.37869194392633,6.32278604139945e-06,0.000228147196327164,0.000181205660108779,2115,"tags=56%, list=7%, signal=52%","30009/3554/114548/975/383/2625/8809/91543/3553/3569"
"GO:0038093","Fc receptor signaling pathway",57,-0.521567592096235,-2.17807425425725,6.44384349122343e-06,0.000231139522152642,0.000183582311609193,4319,"tags=42%, list=14%, signal=36%","2207/919/695/2208/2205/5336/7525/5581/9214/945/3055/6416/2268/26253/2534/23547/2215/2214/131450/338339/2213/2204/196051/8013"
"GO:0006103","2-oxoglutarate metabolic process",18,-0.752387508921224,-2.37568307587798,6.50215289247089e-06,0.000231859122553874,0.000184153853437535,3444,"tags=56%, list=11%, signal=49%","137872/3418/79944/84706/5264/2805/2806/6898/55753/51166"
"GO:0033044","regulation of chromosome organization",258,0.50760070205534,1.54217663255803,6.60835099504116e-06,0.000234267975040582,0.00018606708187946,4371,"tags=21%, list=14%, signal=18%","220134/991/83540/11065/332/4751/7153/1063/7272/64151/9787/9212/221150/5347/699/147841/983/701/9319/10403/891/990/55143/1062/57405/23397/4137/80119/83903/11130/4171/8193/4085/8313/10460/116028/9735/54908/2237/7517/5570/286053/51412/9918/6604/9700/23381/10051/3619/1663/54892/100134934/7203/8260/6714"
"GO:0097267","omega-hydroxylase P450 pathway",11,-0.865353229132554,-2.42075260663723,6.81763890665324e-06,0.000239398007163214,0.000190141604258546,2430,"tags=73%, list=8%, signal=67%","113612/4051/8529/1559/1579/1558/1544/1557"
"GO:0043277","apoptotic cell clearance",44,-0.552907957670549,-2.25670153638906,6.87153633229946e-06,0.000239398007163214,0.000190141604258546,1717,"tags=30%, list=6%, signal=28%","720/721/114786/718/2219/558/6347/7057/84466/91937/8547/8685/2220"
"GO:1901989","positive regulation of cell cycle phase transition",116,0.59260647946666,1.74433824047416,6.87041194374424e-06,0.000239398007163214,0.000190141604258546,7770,"tags=46%, list=26%, signal=34%","7015/220134/995/991/11065/332/9787/898/221150/983/113130/891/51514/990/6241/2146/81610/6491/993/9134/8317/27085/219736/79915/80174/23236/286053/2735/6604/9700/55835/163786/252983/994/8626/7480/51434/11187/6909/255374/7564/134353/57504/49860/51529/225689/4869/1019/101243555/55920/5889/894/6240"
